,topic0,correlation,de_sentiment,fr_sentiment
0,66,-0.36789191181576786,0.2653418866394938,-2.44242731264005
1,63,-0.34909799842335776,-1.1779815836658436,-1.2982376018061959
2,141,-0.3096336810583997,0.8266279989895386,-0.3579994908557409
3,131,-0.2963773428124664,-0.26376930939646914,0.23637043065013397
4,97,-0.2815743504424508,0.4568738998376957,-1.3766094078878057
5,111,-0.2719715178658869,-0.42808861202989534,-0.1002282812336201
6,10,-0.2644052450538664,0.22831266047916615,-1.3785621736062024
7,25,-0.2588323401895848,0.9474124115311544,0.08280992413451024
8,184,-0.24961031495070016,0.2999254710092563,-1.803498802529474
9,52,-0.2330836953225746,0.404612444751725,-0.3898975333337314
10,160,-0.2320734965790901,-1.3075169352532323,-0.7403000691896567
11,138,-0.22461995368749066,-4.705307916467315,0.8261323472088735
12,176,-0.21931926880619562,-4.316063665395543,-0.3256417769668594
13,94,-0.21685787199770706,0.030164673735337676,0.6356454576790922
14,26,-0.21548855808850814,0.5548464504261869,0.2632349216680144
15,159,-0.21361927456398255,-0.9316996962249984,0.10543654960486452
16,152,-0.21260892677982884,0.3525314583608213,0.22169298499234835
17,173,-0.2009199358594141,-3.8274056200475326,1.5756869039679353
18,67,-0.19449529233674562,-0.6806373916004688,-0.4033046225413677
19,133,-0.18416229575637155,-0.42273021553862006,-1.2824378891516182
20,148,-0.18282030894705886,0.20798134243702207,-0.253714234023134
21,199,-0.17868222012281507,-2.7922832694702566,0.4088206033568732
22,32,-0.17640362117647843,0.12392089525086043,0.3651302279993932
23,209,-0.17568918495509991,-1.0036122825636125,0.4565325808815554
24,150,-0.16709479527107202,-1.8500441317360656,-0.10616430673843388
25,163,-0.16609883817081225,-1.8985237033564948,0.19986122879700843
26,190,-0.16243963619512025,0.8856526743158241,0.8884162122600057
27,202,-0.1583279348243896,0.006024795606086141,-0.520385824572818
28,112,-0.15789694052437941,-0.8250552604528812,0.17607297937789435
29,21,-0.15203831196772735,0.42678829027250537,-0.4152314921506623
30,198,-0.15076697508362724,-1.8547439492746471,1.092649079447142
31,139,-0.13976855662176219,-2.3409506543227088,0.3763902901386067
32,191,-0.13756735754456367,-0.037610494363695866,-0.7214303094577196
33,180,-0.13501877917303767,0.6030523495866598,-0.37550344461964014
34,172,-0.13083059252628504,-2.3119522558759944,0.3709682517138063
35,135,-0.12837853738908267,-0.6372256063212247,1.0852226534418359
