,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,topic_merge_delta,umap_metric,loss
481,eom,euclidean,20,20,45,0.05,euclidean,39.0
488,eom,euclidean,25,7,55,0.1,cosine,39.0
163,eom,euclidean,25,20,45,0.05,cosine,39.0
166,eom,euclidean,25,5,45,0.1,cosine,39.0
169,eom,euclidean,25,7,45,0.1,cosine,39.0
511,eom,euclidean,25,9,45,0.15,cosine,39.0
174,eom,euclidean,15,17,45,0.1,cosine,39.0
508,eom,euclidean,25,9,45,0.1,euclidean,39.0
230,eom,euclidean,25,20,45,0.1,euclidean,39.0
177,eom,euclidean,25,9,40,0.1,cosine,39.0
502,eom,euclidean,25,7,45,0.15,euclidean,39.0
500,eom,euclidean,25,9,25,0.05,euclidean,39.0
520,eom,euclidean,25,13,45,0.15,cosine,39.0
193,eom,euclidean,25,7,45,0.1,euclidean,39.0
493,eom,euclidean,25,13,40,0.15,cosine,39.0
489,eom,euclidean,25,20,45,0.1,euclidean,39.0
503,eom,euclidean,25,20,45,0.1,cosine,39.0
418,eom,euclidean,25,7,45,0.1,cosine,39.0
245,eom,euclidean,25,23,55,0.1,euclidean,39.0
416,eom,euclidean,25,13,45,0.1,cosine,39.0
303,eom,euclidean,25,9,45,0.1,cosine,39.0
324,eom,euclidean,25,13,45,0.15,euclidean,39.0
161,eom,euclidean,25,17,45,0.1,cosine,39.0
335,eom,euclidean,20,20,55,0.1,cosine,39.0
337,eom,euclidean,25,9,45,0.05,euclidean,39.0
344,eom,euclidean,25,3,45,0.1,cosine,39.0
295,eom,euclidean,25,9,55,0.1,cosine,39.0
356,eom,euclidean,25,9,45,0.15,cosine,39.0
290,eom,euclidean,25,9,45,0.1,cosine,39.0
367,eom,euclidean,25,13,40,0.1,euclidean,39.0
368,eom,euclidean,25,23,45,0.1,cosine,39.0
285,eom,euclidean,25,13,45,0.1,cosine,39.0
283,eom,euclidean,25,20,45,0.1,cosine,39.0
371,eom,euclidean,25,9,45,0.1,cosine,39.0
375,eom,euclidean,20,7,55,0.1,euclidean,39.0
379,eom,euclidean,25,13,45,0.1,cosine,39.0
276,eom,euclidean,25,20,45,0.1,euclidean,39.0
270,eom,euclidean,25,20,55,0.1,euclidean,39.0
269,eom,euclidean,25,9,45,0.1,euclidean,39.0
385,eom,euclidean,20,9,45,0.1,cosine,39.0
267,eom,euclidean,25,9,45,0.1,euclidean,39.0
528,eom,euclidean,20,13,45,0.05,euclidean,39.0
264,eom,euclidean,25,20,45,0.1,euclidean,39.0
393,eom,euclidean,25,9,40,0.1,cosine,39.0
262,eom,euclidean,25,23,45,0.1,euclidean,39.0
409,eom,euclidean,25,13,45,0.1,cosine,39.0
411,eom,euclidean,25,23,45,0.1,cosine,39.0
412,eom,euclidean,25,20,45,0.1,cosine,39.0
515,eom,euclidean,20,7,55,0.1,cosine,39.0
417,eom,euclidean,25,9,55,0.1,cosine,39.0
578,eom,euclidean,20,5,40,0.05,euclidean,39.0
