,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,topic_merge_delta,umap_metric,loss
38,leaf,euclidean,10,3,40,0.1,euclidean,386.0
73,leaf,euclidean,15,3,25,0.05,cosine,389.0
192,eom,euclidean,15,9,5,0.15,cosine,392.0
345,eom,euclidean,20,20,5,0.1,euclidean,394.0
360,eom,euclidean,10,13,45,0.1,euclidean,412.0
74,leaf,euclidean,15,9,25,0.05,euclidean,412.0
23,eom,euclidean,10,23,25,0.1,cosine,419.0
8,leaf,euclidean,10,17,25,0.15,cosine,431.0
350,eom,euclidean,10,5,20,0.1,cosine,441.0
490,leaf,euclidean,15,9,20,0.05,cosine,443.0
36,leaf,euclidean,15,23,20,0.05,cosine,443.0
80,leaf,euclidean,10,9,20,0.15,euclidean,445.0
53,eom,euclidean,10,3,45,0.05,cosine,458.0
320,leaf,euclidean,10,5,45,0.1,cosine,476.0
44,eom,euclidean,10,5,25,0.05,cosine,481.0
442,leaf,euclidean,10,5,45,0.1,cosine,487.0
76,leaf,euclidean,15,5,15,0.05,euclidean,489.0
236,eom,euclidean,10,3,15,0.1,euclidean,500.0
3,leaf,euclidean,10,5,40,0.1,cosine,520.0
299,leaf,euclidean,10,13,15,0.15,euclidean,524.0
164,eom,euclidean,10,23,15,0.1,cosine,532.0
143,eom,euclidean,10,20,15,0.05,cosine,539.0
4,leaf,euclidean,15,3,10,0.05,euclidean,541.0
18,leaf,euclidean,15,17,10,0.05,euclidean,557.0
28,leaf,euclidean,10,7,40,0.05,euclidean,574.0
229,eom,euclidean,15,20,5,0.1,euclidean,576.0
1,eom,euclidean,10,7,15,0.1,cosine,584.0
512,eom,euclidean,15,5,5,0.1,cosine,585.0
292,leaf,euclidean,15,3,5,0.1,euclidean,586.0
466,leaf,euclidean,10,23,10,0.15,cosine,592.0
208,leaf,euclidean,10,13,25,0.1,cosine,606.0
13,eom,euclidean,5,5,40,0.15,euclidean,607.0
235,eom,euclidean,5,23,45,0.15,euclidean,637.0
67,leaf,euclidean,10,7,20,0.1,euclidean,650.0
348,eom,euclidean,5,20,45,0.15,euclidean,667.0
17,leaf,euclidean,10,23,25,0.05,euclidean,672.0
25,leaf,euclidean,10,23,25,0.05,cosine,678.0
65,eom,euclidean,5,20,40,0.15,euclidean,678.0
329,eom,euclidean,10,3,10,0.05,euclidean,732.0
289,eom,euclidean,10,20,10,0.05,euclidean,742.0
509,eom,euclidean,10,23,10,0.05,cosine,750.0
227,eom,euclidean,10,20,10,0.1,euclidean,752.0
15,leaf,euclidean,5,5,45,0.15,euclidean,773.0
61,leaf,euclidean,10,5,15,0.05,euclidean,778.0
58,leaf,euclidean,5,7,55,0.15,cosine,778.0
39,leaf,euclidean,5,3,15,0.15,cosine,883.0
47,leaf,euclidean,5,20,40,0.15,cosine,918.0
79,leaf,euclidean,10,5,10,0.05,euclidean,950.0
207,eom,euclidean,5,9,55,0.1,cosine,958.0
318,eom,euclidean,5,5,45,0.1,euclidean,958.0
370,leaf,euclidean,10,9,10,0.05,cosine,965.0
142,eom,euclidean,5,23,45,0.1,cosine,969.0
486,eom,euclidean,5,3,45,0.1,euclidean,970.0
278,eom,euclidean,5,5,45,0.1,cosine,978.0
452,eom,euclidean,5,9,40,0.1,euclidean,980.0
198,eom,euclidean,5,20,45,0.1,cosine,984.0
225,eom,euclidean,5,20,45,0.1,euclidean,987.0
121,eom,euclidean,5,23,45,0.1,cosine,993.0
518,eom,euclidean,5,9,45,0.1,euclidean,1010.0
298,eom,euclidean,5,17,45,0.1,cosine,1015.0
430,eom,euclidean,5,13,45,0.1,cosine,1016.0
507,eom,euclidean,5,17,40,0.1,cosine,1019.0
328,eom,euclidean,5,5,40,0.1,cosine,1021.0
496,eom,euclidean,5,20,45,0.1,cosine,1022.0
288,eom,euclidean,5,23,40,0.1,cosine,1028.0
441,eom,euclidean,5,9,45,0.1,euclidean,1076.0
358,eom,euclidean,5,3,45,0.1,euclidean,1077.0
308,eom,euclidean,5,9,55,0.1,euclidean,1086.0
127,eom,euclidean,5,9,45,0.1,cosine,1141.0
171,eom,euclidean,5,9,25,0.1,cosine,1181.0
48,leaf,euclidean,5,9,20,0.15,euclidean,1202.0
30,leaf,euclidean,5,20,20,0.15,cosine,1209.0
57,leaf,euclidean,10,23,5,0.1,euclidean,1218.0
69,leaf,euclidean,10,5,5,0.1,cosine,1222.0
399,eom,euclidean,5,5,25,0.1,euclidean,1277.0
389,eom,euclidean,5,20,20,0.1,cosine,1290.0
162,eom,euclidean,5,9,20,0.1,cosine,1303.0
75,eom,euclidean,5,5,55,0.05,cosine,1306.0
19,leaf,euclidean,5,13,15,0.15,cosine,1350.0
71,leaf,euclidean,10,7,5,0.05,cosine,1360.0
474,leaf,euclidean,5,7,45,0.1,cosine,1408.0
189,leaf,euclidean,5,9,45,0.1,cosine,1417.0
20,leaf,euclidean,5,23,40,0.1,cosine,1509.0
6,eom,euclidean,5,17,15,0.1,euclidean,1593.0
339,eom,euclidean,5,17,15,0.1,cosine,1653.0
244,leaf,euclidean,5,17,25,0.1,euclidean,1672.0
463,eom,euclidean,5,5,15,0.05,cosine,1686.0
52,leaf,euclidean,5,20,40,0.05,euclidean,1762.0
378,eom,euclidean,5,9,15,0.05,euclidean,1767.0
70,eom,euclidean,5,17,5,0.15,euclidean,1866.0
0,eom,euclidean,5,7,10,0.1,euclidean,1888.0
134,eom,euclidean,5,9,10,0.1,cosine,1908.0
55,eom,euclidean,5,20,10,0.05,cosine,2103.0
41,leaf,euclidean,5,7,5,0.15,euclidean,2119.0
51,leaf,euclidean,5,13,5,0.15,cosine,2183.0
43,leaf,euclidean,5,7,10,0.05,cosine,2594.0
369,eom,euclidean,5,20,5,0.1,cosine,2783.0
180,eom,euclidean,5,9,5,0.1,cosine,2836.0
9,eom,euclidean,5,23,5,0.1,cosine,2877.0
2,eom,euclidean,5,17,5,0.05,euclidean,3125.0
83,eom,euclidean,25,13,45,0.1,euclidean,9999.0
