,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,umap_metric,loss,n_labels,below_threshold
0,eom,euclidean,15,17,25,hellinger,14.0,44,67
1,eom,euclidean,10,10,20,hellinger,19.0,49,147
2,eom,euclidean,20,13,35,cosine,29.0,1,4
3,eom,euclidean,10,17,30,cosine,13.0,43,140
4,eom,euclidean,10,10,35,cosine,16.0,46,131
5,eom,euclidean,10,13,35,cosine,15.0,45,139
6,eom,euclidean,10,10,35,hellinger,16.0,46,122
7,eom,euclidean,10,6,30,cosine,17.0,47,142
8,eom,euclidean,15,13,20,hellinger,18.0,48,88
9,eom,euclidean,10,13,20,cosine,17.0,47,155
10,eom,euclidean,20,10,35,hellinger,28.0,2,1
11,eom,euclidean,10,13,25,hellinger,16.0,46,138
12,eom,euclidean,15,7,35,cosine,14.0,44,64
13,eom,euclidean,20,6,20,cosine,16.0,46,52
14,eom,euclidean,20,13,35,cosine,29.0,1,4
15,eom,euclidean,15,13,20,cosine,21.0,51,78
16,eom,euclidean,15,10,25,cosine,16.0,46,77
17,eom,euclidean,10,13,25,cosine,16.0,46,132
18,eom,euclidean,15,7,20,hellinger,23.0,53,73
19,eom,euclidean,10,13,25,hellinger,16.0,46,128
20,eom,euclidean,15,17,30,hellinger,12.0,42,65
21,eom,euclidean,15,17,30,hellinger,13.0,43,70
22,eom,euclidean,15,17,30,hellinger,11.0,41,69
23,eom,euclidean,15,17,30,hellinger,29.0,1,4
24,eom,euclidean,15,17,30,hellinger,29.0,1,4
25,eom,euclidean,15,17,30,hellinger,15.0,45,70
26,eom,euclidean,15,17,30,hellinger,14.0,44,70
27,eom,euclidean,15,17,30,hellinger,16.0,46,64
28,eom,euclidean,15,17,30,hellinger,12.0,42,67
29,eom,euclidean,15,6,30,hellinger,16.0,46,64
30,eom,euclidean,15,7,30,hellinger,14.0,44,61
31,eom,euclidean,20,17,30,hellinger,17.0,47,42
32,eom,euclidean,15,17,30,hellinger,15.0,45,69
33,eom,euclidean,15,17,30,hellinger,16.0,46,70
34,eom,euclidean,20,17,30,hellinger,13.0,43,38
35,eom,euclidean,15,6,25,hellinger,16.0,46,70
36,eom,euclidean,15,7,30,hellinger,19.0,49,67
37,eom,euclidean,20,17,30,hellinger,14.0,44,36
38,eom,euclidean,15,10,30,hellinger,13.0,43,69
39,eom,euclidean,15,17,35,hellinger,18.0,48,55
40,eom,euclidean,15,6,20,hellinger,22.0,52,83
41,eom,euclidean,10,10,25,hellinger,20.0,50,141
42,eom,euclidean,20,17,35,hellinger,29.0,1,4
43,eom,euclidean,15,7,30,cosine,17.0,47,72
44,eom,euclidean,10,17,20,hellinger,17.0,47,145
45,eom,euclidean,20,6,30,cosine,15.0,45,48
46,eom,euclidean,15,10,35,hellinger,16.0,46,67
47,eom,euclidean,10,17,25,cosine,14.0,44,143
48,eom,euclidean,15,7,20,hellinger,17.0,47,82
49,eom,euclidean,15,17,30,hellinger,16.0,46,55
50,eom,euclidean,20,13,35,cosine,14.0,44,43
51,eom,euclidean,10,10,30,hellinger,16.0,46,132
52,eom,euclidean,15,6,25,hellinger,17.0,47,69
53,eom,euclidean,15,17,20,cosine,18.0,48,86
54,eom,euclidean,10,13,30,hellinger,18.0,48,132
55,eom,euclidean,15,17,35,hellinger,12.0,42,58
56,eom,euclidean,15,7,35,cosine,18.0,48,68
57,eom,euclidean,20,17,30,hellinger,17.0,47,39
58,eom,euclidean,15,10,25,hellinger,14.0,44,80
59,eom,euclidean,15,13,35,hellinger,19.0,49,51
60,eom,euclidean,10,17,35,cosine,19.0,49,128
61,eom,euclidean,15,6,35,hellinger,13.0,43,71
62,eom,euclidean,20,17,35,hellinger,28.0,2,1
63,eom,euclidean,15,7,30,hellinger,16.0,46,76
64,eom,euclidean,15,17,20,cosine,15.0,45,80
65,eom,euclidean,15,17,35,hellinger,14.0,44,60
66,eom,euclidean,15,17,35,hellinger,14.0,44,55
67,eom,euclidean,15,17,30,hellinger,12.0,42,68
68,eom,euclidean,15,17,30,hellinger,15.0,45,69
69,eom,euclidean,15,17,30,hellinger,19.0,49,65
70,eom,euclidean,15,17,30,hellinger,18.0,48,68
71,eom,euclidean,15,17,30,hellinger,29.0,1,4
72,eom,euclidean,15,17,30,hellinger,16.0,46,67
73,eom,euclidean,15,10,30,hellinger,15.0,45,64
74,eom,euclidean,15,13,30,hellinger,20.0,50,61
75,eom,euclidean,15,17,30,hellinger,16.0,46,62
76,eom,euclidean,10,6,30,hellinger,15.0,45,131
77,eom,euclidean,20,17,30,hellinger,14.0,44,40
78,eom,euclidean,15,7,25,hellinger,18.0,48,66
79,eom,euclidean,15,17,35,hellinger,13.0,43,63
80,eom,euclidean,15,17,30,hellinger,19.0,49,62
81,eom,euclidean,10,13,35,cosine,15.0,45,118
82,eom,euclidean,15,10,20,hellinger,19.0,49,83
83,eom,euclidean,20,6,30,hellinger,18.0,48,42
84,eom,euclidean,15,17,30,hellinger,17.0,47,73
85,eom,euclidean,15,17,30,hellinger,17.0,47,64
86,eom,euclidean,15,7,25,cosine,15.0,45,67
87,eom,euclidean,10,17,30,hellinger,10.0,40,150
88,eom,euclidean,10,13,20,hellinger,20.0,50,148
89,eom,euclidean,10,17,35,hellinger,13.0,43,124
90,eom,euclidean,10,17,35,hellinger,12.0,42,126
91,eom,euclidean,10,10,30,cosine,10.0,40,146
92,eom,euclidean,10,10,30,cosine,20.0,50,141
93,eom,euclidean,10,10,30,cosine,19.0,49,138
94,eom,euclidean,10,10,25,cosine,16.0,46,151
95,eom,euclidean,10,10,30,cosine,13.0,43,147
96,eom,euclidean,10,10,20,cosine,16.0,46,162
97,eom,euclidean,10,10,30,cosine,21.0,51,138
98,eom,euclidean,10,10,30,cosine,15.0,45,144
99,eom,euclidean,10,10,25,cosine,17.0,47,140
100,eom,euclidean,10,6,30,cosine,11.0,41,142
101,eom,euclidean,10,6,30,cosine,11.0,41,150
102,eom,euclidean,10,6,20,cosine,17.0,47,166
103,eom,euclidean,10,7,30,cosine,13.0,43,147
104,eom,euclidean,10,6,30,cosine,11.0,41,135
105,eom,euclidean,10,6,30,cosine,15.0,45,139
106,eom,euclidean,10,6,25,cosine,14.0,44,137
107,eom,euclidean,10,6,30,cosine,15.0,45,139
108,eom,euclidean,10,6,20,cosine,18.0,48,154
109,eom,euclidean,20,10,30,cosine,14.0,44,45
110,eom,euclidean,10,6,30,cosine,13.0,43,144
111,eom,euclidean,10,13,30,cosine,17.0,47,137
112,eom,euclidean,20,10,25,hellinger,19.0,49,42
113,eom,euclidean,10,6,30,cosine,10.0,40,153
114,eom,euclidean,10,7,30,cosine,17.0,47,138
115,eom,euclidean,10,6,20,cosine,23.0,53,147
116,eom,euclidean,10,13,30,cosine,14.0,44,125
117,eom,euclidean,10,10,30,cosine,16.0,46,148
118,eom,euclidean,10,6,30,cosine,18.0,48,135
119,eom,euclidean,10,7,25,cosine,15.0,45,144
120,eom,euclidean,10,10,30,cosine,10.0,40,150
121,eom,euclidean,10,10,20,cosine,20.0,50,139
122,eom,euclidean,20,6,30,cosine,16.0,46,41
123,eom,euclidean,10,13,30,cosine,13.0,43,134
124,eom,euclidean,10,10,30,cosine,21.0,51,137
125,eom,euclidean,10,10,25,cosine,12.0,42,144
126,eom,euclidean,10,6,30,cosine,14.0,44,145
127,eom,euclidean,10,10,20,cosine,20.0,50,150
128,eom,euclidean,20,10,30,cosine,29.0,1,4
129,eom,euclidean,10,10,30,cosine,13.0,43,144
130,eom,euclidean,10,10,30,cosine,12.0,42,148
131,eom,euclidean,20,10,35,cosine,18.0,48,42
