,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,umap_metric,loss,n_labels,below_threshold
132,eom,euclidean,10,10,25,cosine,16.0,46,145
133,eom,euclidean,10,10,30,cosine,17.0,47,144
134,eom,euclidean,10,10,20,cosine,18.0,48,157
135,eom,euclidean,10,7,30,cosine,17.0,47,145
136,eom,euclidean,20,10,30,cosine,14.0,44,44
137,eom,euclidean,10,13,35,cosine,19.0,49,123
138,eom,euclidean,10,6,30,cosine,11.0,41,149
139,eom,euclidean,10,6,25,hellinger,20.0,50,145
140,eom,euclidean,10,7,30,hellinger,19.0,49,131
141,eom,euclidean,20,13,20,cosine,18.0,48,49
142,eom,euclidean,10,6,30,hellinger,17.0,47,137
143,eom,euclidean,10,7,30,cosine,15.0,45,150
144,eom,euclidean,10,10,35,cosine,12.0,42,139
145,eom,euclidean,10,10,30,cosine,15.0,45,153
146,eom,euclidean,10,10,30,cosine,14.0,44,154
147,eom,euclidean,10,10,30,cosine,18.0,48,148
148,eom,euclidean,10,17,30,cosine,11.0,41,145
149,eom,euclidean,10,6,30,cosine,14.0,44,141
